Name,Park Code,Region
ABRAHAM LINCOLN BIRTHPLACE,ABLI,SER
ACADIA,ACAD,NER
ADAMS,ADAM,NER
AFRICAN BURIAL GROUND,AFBG,NER
AGATE FOSSIL BEDS,AGFO,MWR
ALIBATES FLINT QUARRIES NATIONAL MONUMENT,ALFL,IMR
ALLEGHENY PORTAGE RAILROAD,ALPO,NER
AMISTAD,AMIS,IMR
ANDERSONVILLE,ANDE,SER
ANDREW JOHNSON,ANJO,SER
ANIAKCHAK,ANIA,AKR
ANTIETAM,ANTI,NCR
APOSTLE ISLANDS,APIS,MWR
APPALACHIAN,APPA, SER
APPOMATTOX COURT HOUSE,APCO,NER
ARCHES,ARCH,IMR
ARKANSAS POST,ARPO,MWR
ARLINGTON HOUSE - ROBERT E. LEE MEMORIAL,ARHO,NCR
ASSATEAGUE ISLAND NS,ASIS,NER
AZTEC RUINS,AZRU,IMR
BADLANDS,BADL,MWR
BANDELIER,BAND,IMR
BELMONT-PAUL WOMEN'S EQUALITY,BEPA,NCR
BENTS OLD FORT,BEOL,IMR
BERING LAND BRIDGE,BELA,AKR
BIG BEND,BIBE,IMR
BIG CYPRESS,BICY,SER
BIG HOLE,BIHO,PWR
BIG SOUTH FORK,BISO,SER
BIG THICKET,BITH,IMR
BIGHORN CANYON,BICA,IMR
BIRMINGHAM CIVIL RIGHTS,BICR,SER
BISCAYNE,BISC,SER
BLACK CANYON OF THE GUNNISON,BLCA,IMR
BLACKSTONE RIVER VALLEY,BLRV,NER
BLUE RIDGE,BLRI,SER
BLUESTONE,BLUE,NER
BOOKER T. WASHINGTON,BOWA,NER
BOSTON,BOST,NER
BOSTON AFRICAN AMERICAN,BOAF,NER
BOSTON HARBOR ISLANDS,BOHA,NER
BRICES CROSS ROADS,BRCR,SER
BROWN V. BOARD OF EDUCATION,BRVB,MWR
BRYCE CANYON,BRCA,IMR
BUCK ISLAND REEF,BUIS,SER
BUFFALO,BUFF,MWR
CABRILLO,CABR,PWR
CANAVERAL,CANA,SER
CANE RIVER CREOLE,CARI,SER
CANYON DE CHELLY,CACH,IMR
CANYONLANDS,CANY,IMR
CAPE COD,CACO,NER
CAPE HATTERAS,CAHA,SER
CAPE KRUSENSTERN,CAKR,AKR
CAPE LOOKOUT,CALO,SER
CAPITOL REEF,CARE,IMR
CAPULIN VOLCANO,CAVO,IMR
CARL SANDBURG HOME,CARL,SER
CARLSBAD CAVERNS,CAVE,IMR
CARTER G. WOODSON HOME,CAWO,NCR
CASA GRANDE RUINS,CAGR,IMR
CASTILLO de SAN MARCOS,CASA,SER
CASTLE CLINTON,CACL,NER
CASTLE MOUNTAIN,CAMO,PWR
CATOCTIN MOUNTAIN,CATO,NCR
CEDAR BREAKS,CEBR,IMR
CEDAR CREEK & BELLE GROVE,CEBE,NER
CESAR E. CHAVEZ,CECH,PWR
